2026-05-07 12:05:09,316 | ERROR    | train_all |   [Prophet] Failed for Georgia: 'Prophet' object has no attribute 'stan_backend'
2026-05-07 12:05:09,316 | INFO     | src.models.xgboost_model | [XGBoost] Training for state: Georgia
2026-05-07 12:05:09,628 | INFO     | src.models.xgboost_model | [XGBoost] Georgia metrics: {'rmse': 206140540.8782, 'mae': 154608901.175, 'mape': 64.8904}
2026-05-07 12:05:09,825 | INFO     | src.models.xgboost_model | [XGBoost] Model saved to C:\forecasting_system\artifacts\models\Georgia_xgboost.pkl
2026-05-07 12:05:09,825 | INFO     | src.models.lstm_model | [LSTM] Training for state: Georgia
2026-05-07 12:05:14,569 | INFO     | src.models.lstm_model | [LSTM] Georgia — training complete.
2026-05-07 12:05:16,261 | INFO     | src.models.lstm_model | [LSTM] Georgia metrics: {'rmse': 162425993.8408, 'mae': 149253139.6548, 'mape': 70.8741}
2026-05-07 12:05:26,149 | INFO     | src.models.lstm_model | [LSTM] Model saved to C:\forecasting_system\artifacts\models\Georgia_lstm.pkl
2026-05-07 12:05:26,149 | INFO     | train_all | ------------------------------------------------------------
2026-05-07 12:05:26,149 | INFO     | train_all | Processing state: Illinois
2026-05-07 12:05:26,155 | INFO     | train_all |   Split — Train: 204, Val: 25, Test: 24
2026-05-07 12:05:26,155 | INFO     | src.models.sarima_model | [SARIMA] Training for state: Illinois
2026-05-07 12:05:26,155 | ERROR    | train_all |   [SARIMA] Failed for Illinois: max_p must be >= start_p
2026-05-07 12:05:26,155 | INFO     | src.models.prophet_model | [Prophet] Training for state: Illinois
2026-05-07 12:05:26,157 | ERROR    | train_all |   [Prophet] Failed for Illinois: 'Prophet' object has no attribute 'stan_backend'
2026-05-07 12:05:26,158 | INFO     | src.models.xgboost_model | [XGBoost] Training for state: Illinois
2026-05-07 12:05:26,473 | INFO     | src.models.xgboost_model | [XGBoost] Illinois metrics: {'rmse': 160258021.1903, 'mae': 114392167.8854, 'mape': 63.1961}
2026-05-07 12:05:26,668 | INFO     | src.models.xgboost_model | [XGBoost] Model saved to C:\forecasting_system\artifacts\models\Illinois_xgboost.pkl
2026-05-07 12:05:26,668 | INFO     | src.models.lstm_model | [LSTM] Training for state: Illinois
2026-05-07 12:05:32,143 | INFO     | src.models.lstm_model | [LSTM] Illinois — training complete.
2026-05-07 12:05:37,083 | INFO     | src.models.lstm_model | [LSTM] Illinois metrics: {'rmse': 134779688.7198, 'mae': 121146121.972, 'mape': 72.9516}
2026-05-07 12:05:54,569 | INFO     | src.models.lstm_model | [LSTM] Model saved to C:\forecasting_system\artifacts\models\Illinois_lstm.pkl
2026-05-07 12:05:54,569 | INFO     | train_all | ------------------------------------------------------------
2026-05-07 12:05:54,569 | INFO     | train_all | Processing state: Indiana
2026-05-07 12:05:54,595 | INFO     | train_all |   Split — Train: 204, Val: 25, Test: 24
2026-05-07 12:05:54,595 | INFO     | src.models.sarima_model | [SARIMA] Training for state: Indiana
2026-05-07 12:05:54,597 | ERROR    | train_all |   [SARIMA] Failed for Indiana: max_p must be >= start_p
2026-05-07 12:05:54,599 | INFO     | src.models.prophet_model | [Prophet] Training for state: Indiana
2026-05-07 12:05:54,603 | ERROR    | train_all |   [Prophet] Failed for Indiana: 'Prophet' object has no attribute 'stan_backend'
2026-05-07 12:05:54,605 | INFO     | src.models.xgboost_model | [XGBoost] Training for state: Indiana
2026-05-07 12:05:55,239 | INFO     | src.models.xgboost_model | [XGBoost] Indiana metrics: {'rmse': 117332182.0964, 'mae': 83671568.326, 'mape': 68.9576}
2026-05-07 12:05:55,664 | INFO     | src.models.xgboost_model | [XGBoost] Model saved to C:\forecasting_system\artifacts\models\Indiana_xgboost.pkl
2026-05-07 12:05:55,665 | INFO     | src.models.lstm_model | [LSTM] Training for state: Indiana
2026-05-07 12:06:04,400 | INFO     | src.models.lstm_model | [LSTM] Indiana — training complete.
2026-05-07 12:06:07,671 | INFO     | src.models.lstm_model | [LSTM] Indiana metrics: {'rmse': 97146051.0638, 'mae': 92140320.1085, 'mape': 66.842}
2026-05-07 12:06:23,510 | INFO     | src.models.lstm_model | [LSTM] Model saved to C:\forecasting_system\artifacts\models\Indiana_lstm.pkl
